Date,Open,Close
2020-08-13,2.76,2.76
2020-08-14,2.76,2.76
2020-08-15,2.76,2.76
2020-08-16,2.76,2.76
2020-08-17,2.76,2.76
2020-08-18,2.76,2.76
2020-08-19,2.76,2.76
2020-08-20,2.76,2.76
2020-08-21,2.76,2.76
2020-08-22,2.76,2.76
2020-08-23,2.76,2.76
2020-08-24,2.76,2.76
2020-08-25,2.76,2.76
2020-08-26,2.76,2.76
2020-08-27,2.76,2.76
2020-08-28,2.76,2.76
2020-08-29,2.76,2.76
2020-08-30,2.76,2.76
2020-08-31,2.76,2.76
2020-09-01,2.76,2.76
2020-09-02,2.76,2.76
2020-09-03,2.76,2.76
2020-09-04,2.76,2.76
2020-09-05,2.76,2.76
2020-09-06,2.76,2.76
2020-09-07,2.76,2.76
2020-09-08,2.76,2.76
2020-09-09,2.76,2.76
2020-09-10,2.76,2.76
2020-09-11,2.76,2.76
2020-09-12,2.76,2.76
2020-09-13,2.76,2.76
2020-09-14,2.76,2.76
2020-09-15,2.62,2.68
2020-09-16,2.62,2.62
2020-09-17,2.73,2.73
2020-09-18,2.73,2.73
2020-09-19,2.73,2.73
2020-09-20,2.73,2.73
2020-09-21,2.73,2.73
2020-09-22,2.72,2.7
2020-09-23,2.73,2.73
2020-09-24,2.68,2.68
2020-09-25,2.68,2.68
2020-09-26,2.67,2.69
2020-09-27,2.67,2.71
2020-09-28,2.66,2.73
2020-09-29,2.62,2.62
2020-09-30,2.51,2.51
2020-10-01,2.51,2.51
2020-10-02,2.51,2.51
2020-10-03,2.51,2.51
2020-10-04,2.51,2.51
2020-10-05,2.51,2.51
2020-10-06,2.76,2.68
2020-10-07,2.76,2.76
2020-10-08,2.76,2.76
2020-10-09,2.76,2.76
2020-10-10,2.76,2.76
2020-10-11,2.76,2.76
2020-10-12,2.76,2.76
2020-10-13,2.76,2.76
2020-10-14,2.76,2.76
2020-10-15,2.76,2.76
2020-10-16,2.76,2.76
2020-10-17,2.76,2.76
2020-10-18,2.76,2.76
2020-10-19,2.76,2.76
2020-10-20,2.76,2.76
2020-10-21,2.76,2.76
2020-10-22,2.76,2.76
2020-10-23,2.76,2.76
2020-10-24,2.76,2.76
2020-10-25,2.76,2.76
2020-10-26,2.76,2.76
2020-10-27,2.76,2.76
2020-10-28,2.76,2.76
2020-10-29,2.76,2.76
2020-10-30,2.76,2.76
2020-10-31,2.76,2.76
2020-11-01,2.76,2.76
2020-11-02,2.76,2.76
2020-11-03,2.76,2.76
2020-11-04,2.76,2.76
2020-11-05,2.76,2.76
2020-11-06,2.76,2.76
2020-11-07,2.76,2.76
2020-11-08,2.76,2.76
2020-11-09,2.76,2.76
2020-11-10,2.76,2.76
2020-11-11,2.76,2.76
2020-11-12,2.76,2.76
2020-11-13,2.76,2.76
2020-11-14,2.76,2.76
2020-11-15,2.76,2.76
2020-11-16,2.76,2.76
2020-11-17,2.76,2.76
2020-11-18,2.76,2.76
2020-11-19,2.76,2.76
2020-11-20,2.76,2.76
2020-11-21,2.76,2.76
2020-11-22,2.76,2.76
2020-11-23,2.76,2.76
2020-11-24,2.76,2.76
2020-11-25,2.76,2.76
2020-11-26,2.76,2.76
2020-11-27,2.76,2.76
2020-11-28,2.76,2.76
2020-11-29,2.76,2.76
2020-11-30,2.76,2.76
2020-12-01,2.76,2.76
2020-12-02,2.76,2.76
2020-12-03,2.76,2.76
2020-12-04,2.76,2.76
2020-12-05,2.76,2.76
2020-12-06,2.76,2.76
2020-12-07,2.76,2.76
2020-12-08,2.76,2.76
2020-12-09,2.76,2.76
2020-12-10,2.76,2.76
2020-12-11,2.76,2.76
2020-12-12,2.76,2.76
2020-12-13,2.76,2.76
2020-12-14,2.76,2.76
2020-12-15,2.76,2.76
2020-12-16,2.76,2.76
2020-12-17,2.76,2.76
2020-12-18,2.76,2.76
2020-12-19,2.76,2.76
2020-12-20,2.76,2.76
2020-12-21,2.76,2.76
2020-12-22,2.76,2.76
2020-12-23,2.76,2.76
2020-12-24,2.76,2.76
2020-12-25,2.76,2.76
2020-12-26,2.76,2.76
2020-12-27,2.76,2.76
2020-12-28,2.76,2.76
2020-12-29,2.76,2.76
2020-12-30,2.76,2.76
2020-12-31,2.76,2.76
